type	UniqueNumber	Word.order	Realization1
Produce	129	PS	Í fjør gav upp hann í síðstu rundu.
Produce	130	SP	Í gjár komu umleið túsund berlinbúgvar saman á torginum.
Produce	130	PS	Í gjár komu saman umleið túsund berlinbúgvar á torginum.
Produce	131	SP	Í gjár komu teir saman á torginum.
Produce	131	PS	Í gjár komu saman teir á torginum.
Produce	132	SP	Í gjár kom tað nýggja tíðarritið út tvær ferðir.
Produce	132	PS	Í gjár kom út tað nýggja tíðarritið tvær ferðir.
Produce	133	SP	Í fjør kom tað út tvær ferðir.
Produce	133	PS	Í fjør kom út tað tvær ferðir.
Produce	134	SP	Í gjár duttu tríggir málningar niður í stóra salinum.
Produce	134	PS	Í gjár duttu niður tríggir málningar í stóra salinum.
Produce	135	SP	I gjár komu teir saman á torginum.
Produce	135	PS	I gjár komu saman teir á torginum.
Produce	136	SP	Í gjár brunnu tvey fólk inni í Oslo.
Produce	136	PS	Í gjár brunnu inni tvey fólk í Oslo.
Read	201		Stúdenturin plagar at fara út úr húsinum hvønn dag.
Read	202		Hann plagar at fara út úr húsinum hvønn dag.
Read	203		Politikkarin fer at stilla upp til hetta val.
Read	204		Hann fer at stilla upp til hetta val.
Read	205		Systrarnar fara at bresta saman í finaluni. 
Read	206		Tær fara at bresta saman í finaluni. 
Read	207		Tíðarritið fer at koma út tvær ferðir um heystið.
Read	208		Tað fer at koma út tvær ferðir um heystið.
Read	209		Næmingurin fer at rudda upp í køkinum.
Read	210		Hann fer at rudda upp í køkinum.
Read	211		Hon fer ikki at hjálpa mær við skúlatingunum.
Read	212		Hann fer ikki at bjóða mær eitt nýtt starv.
Read	213		Hann fer ikki at vísa mær nøkur brot úr filminum.
Read	214		Hann fer ikki at geva mær nýtt breyð.
Read	215		Hann fer ikki at senda mær nakra innbjóðing.
Read	216		Politisturin fer ikki at raka sær við rakimaskinuni.
Read	217		Næmingurin fer ikki at kenna seg troyttan aftan á skúlan.
Read	218		Sjónleikarin fer ikki at venda sær í móti áskoðarunum.
Read	219		Venjarin fer ikki at seta seg við síðuna av læraranum.
Read	220		Rennarin fer ikki at vaska sær aftan á renningina.
Produce	201	SP	Í fjør fór stúdenturin út úr húsinum hvønn dag.
Produce	202	SP	Í fjør fór hann út úr húsinum hvønn dag.
Produce	203	SP	Í fjør stillaði politikkarin upp til hetta val.
Produce	204	SP	Í fjør stillaði hann upp til hetta val.
Produce	205	SP	Í gjár brustu systrarnar saman í finaluni. 
Produce	206	SP	Í gjár brustu tær saman í finaluni. 
Produce	207	SP	Í fjør kom tíðarritið út tvær ferðir um heystið.
Produce	208	SP	Í fjør kom tað út tvær ferðir um heystið.
Produce	209	SP	Í gjár ruddaði næmingurin upp í køkinum.
Produce	210	SP	Í gjár ruddaði hann upp í køkinum.
Produce	211	SON	Í gjár hjálpti hon mær ikki við skúlatingunum.
Produce	212	SON	Í fjør bjóðaði hann mær ikki eitt nýtt starv.
Produce	213	SON	Í gjár vísti hann mær ikki nøkur brot úr filminum.
Produce	214	SON	Í gjár gav hann mær ikki nýtt breyð.
Produce	215	SON	Í fjør sendi hann mær ikki nakra innbjóðing.
Produce	216	SRN	Í gjár rakaði politisturin sær ikki við rakimaskinuni.
Produce	217	SRN	Í gjár kendi næmingurin seg ikki troyttan aftan á skúlan.
Produce	218	SRN	Í gjár vendi sjónleikarin sær ikki í móti áskoðarunum.
Produce	219	SRN	Í gjár setti venjarin seg ikki við síðuna av læraranum.
Produce	220	SRN	Í gjár vaskaði rennarin sær ikki aftan á renningina.
Produce	201	PS	Í fjør fór út stúdenturin úr húsinum hvønn dag.
Produce	202	PS	Í fjør fór út hann úr húsinum hvønn dag.
Produce	203	PS	Í fjør stillaði upp politikkarin til hetta val.
Produce	204	PS	Í fjør stillaði upp hann til hetta val.
Produce	205	PS	Í gjár brustu saman systrarnar í finaluni. 
Produce	206	PS	Í gjár brustu saman tær í finaluni. 
Produce	207	PS	Í fjør kom út tíðarritið tvær ferðir um heystið.
Produce	208	PS	Í fjør kom út tað tvær ferðir um heystið.
Produce	209	PS	Í gjár ruddaði upp næmingurin í køkinum.
Produce	210	PS	Í gjár ruddaði upp hann í køkinum.
Produce	211	OSN	Í gjár hjálpti mær hon ikki við skúlatingunum.
Produce	212	OSN	Í fjør bjóðaði mær hann ikki eitt nýtt starv.
Produce	213	OSN	Í gjár vísti mær hann ikki nøkur brot úr filminum.
Produce	214	OSN	Í gjár gav mær hann ikki nýtt breyð.
Produce	215	OSN	Í fjør sendi mær hann ikki nakra innbjóðing.
Produce	216	RSN	Í gjár rakaði sær politisturin ikki við rakimaskinuni.
Produce	217	RSN	Í gjár kendi seg næmingurin ikki troyttan aftan á skúlan.
Produce	218	RSN	Í gjár vendi sær sjónleikarin ikki í móti áskoðarunum.
Produce	219	RSN	Í gjár setti seg venjarin ikki við síðuna av læraranum.
Produce	220	RSN	Í gjár vaskaði sær rennarin ikki aftan á renningina.
Produce	211	NSO	Í gjár hjálpti ikki hon mær við skúlatingunum.
Produce	212	NSO	Í fjør bjóðaði ikki hann mær eitt nýtt starv.
Produce	213	NSO	Í gjár vísti ikki hann mær nøkur brot úr filminum.
Produce	214	NSO	Í gjár gav ikki hann mær nýtt breyð.
Produce	215	NSO	Í fjør sendi ikki hann mær nakra innbjóðing.
Produce	216	NSR	Í gjár rakaði ikki politisturin sær við rakimaskinuni.
Produce	217	NSR	Í gjár kendi ikki næmingurin seg troyttan aftan á skúlan.
Produce	218	NSR	Í gjár vendi ikki sjónleikarin sær í móti áskoðarunum.
Produce	219	NSR	Í gjár setti ikki venjarin seg við síðuna av læraranum.
Produce	220	NSR	Í gjár vaskaði ikki rennarin sær aftan á renningina.
Produce	211	ONS	Í gjár hjálpti mær ikki hon við skúlatingunum.
Produce	212	ONS	Í fjør bjóðaði mær ikki hann eitt nýtt starv.
Produce	213	ONS	Í gjár vísti mær ikki hann nøkur brot úr filminum.
Produce	214	ONS	Í gjár gav mær ikki hann nýtt breyð.
Produce	215	ONS	Í fjør sendi mær ikki hann nakra innbjóðing.
Produce	216	RNS	Í gjár rakaði sær ikki politisturin við rakimaskinuni.
Produce	217	RNS	Í gjár kendi seg ikki næmingurin troyttan aftan á skúlan.
Produce	218	RNS	Í gjár vendi sær ikki sjónleikarin í móti áskoðarunum.
Produce	219	RNS	Í gjár setti seg ikki venjarin við síðuna av læraranum.
Produce	220	RNS	Í gjár vaskaði sær ikki rennarin aftan á renningina.
Produce	211	SNO	Í gjár hjálpti hon ikki mær við skúlatingunum.
Produce	212	SNO	Í fjør bjóðaði hann ikki mær eitt nýtt starv.
Produce	213	SNO	Í gjár vísti hann ikki mær nøkur brot úr filminum.
Produce	214	SNO	Í gjár gav hann ikki mær nýtt breyð.
Produce	215	SNO	Í fjør sendi hann ikki mær nakra innbjóðing.
Produce	216	SNR	Í gjár rakaði politisturin ikki sær við rakimaskinuni.
Produce	217	SNR	Í gjár kendi næmingurin ikki seg troyttan aftan á skúlan.
Produce	218	SNR	Í gjár vendi sjónleikarin ikki sær í móti áskoðarunum.
Produce	219	SNR	Í gjár setti venjarin ikki seg við síðuna av læraranum.
Produce	220	SNR	Í gjár vaskaði rennarin ikki sær aftan á renningina.
Produce	211	NOS	Í gjár hjálpti ikki mær hon við skúlatingunum.
Produce	212	NOS	Í fjør bjóðaði ikki mær hann eitt nýtt starv.
Produce	213	NOS	Í gjár vísti ikki mær hann nøkur brot úr filminum.
Produce	214	NOS	Í gjár gav ikki mær hann nýtt breyð.
Produce	215	NOS	Í fjør sendi ikki mær hann nakra innbjóðing.
Produce	216	NRS	Í gjár rakaði ikki sær politisturin við rakimaskinuni.
Produce	217	NRS	Í gjár kendi ikki seg næmingurin troyttan aftan á skúlan.
Produce	218	NRS	Í gjár vendi ikki sær sjónleikarin í móti áskoðarunum.
Produce	219	NRS	Í gjár setti ikki seg venjarin við síðuna av læraranum.
Produce	220	NRS	Í gjár vaskaði ikki sær rennarin aftan á renningina.
Read	301		Næmingurin varð blakaður út av barrini av duravørðunum.
Read	302		Hann varð blakaður út av duravørðunum í gjár.
Read	303		Studenturin varð blakaður út av barrini av duravørðunum.
Read	304		Hann varð blakaður út av duravørðunum í gjár.
Read	305		Vitnið varð leitt inn í salin av duravørðunum.
Read	306		Hann varð leiddur inn av duravørðunum í gjár.
Read	307		Vitnið varð leitt inn í salin av duravørðunum.
Read	308		Hann varð leiddur inn av duravørðunum í gjár.
Read	309		Málningurin varð tikin niður av vegginum av gentuni.
