number	item	subitem	name	Main1	Emb1	cond11	cond12	adv1			
509	29	b	Erik:	Vad var det för fågel som flög förbi?	Erik undrade...	EmbObQ	NonReflexive	none			
510	29	b	Lena:	Vad var det för fågel som flög förbi?	Lena undrade...	EmbObQ	NonReflexive	none			
511	30	b	Peter:	Vart ska Erik på semester?	Peter ville veta...	EmbObQ	NonReflexive	none			
512	30	b	Karin:	Vart ska Johan på semester?	Karin frågade...	EmbObQ	NonReflexive	none			
601	31	b	Erik:	Jag har glömt mina nycklar hemma.	Erik är säker på att....	FillerDecl	NonReflexive	none			
602	31	b	Lena:	Jag har glömt mina nycklar hemma.	Lena är säker på att...	FillerDecl	NonReflexive	none			
603	32	b	Peter:	Paul har varit sjuk hela veckan.	Peter är säker på att...	FillerDecl	NonReflexive	none			
604	32	b	Karin:	Lena har varit sjuk hela veckan.	Karin är säker på att...	FillerDecl	NonReflexive	none			
605	33	b	Kalle:	Utflykten i morgon är inställd.	Kalle är säker på att...	FillerDecl	NonReflexive	none			
606	33	b	Lisa:	Utflykten i morgon är inställd.	Lisa är säker på att...	FillerDecl	NonReflexive	none			
607	34	b	Johan:	Tyskland är större än Frankrike.	Johan tror att...	FillerDecl	NonReflexive	none			
608	34	b	Maria:	Jorden är platt.	Maria tror att...	FillerDecl	NonReflexive	none			
609	35	b	Kalle:	Månen är gjord av ost.	Kalle tror att...	FillerDecl	NonReflexive	none			
610	35	b	Lisa:	Oslo är Sveriges huvudstad.	Lisa tror att...	FillerDecl	NonReflexive	none			
611	36	b	Johan:	Två plus två är fem.	Johan tror att...	FillerDecl	NonReflexive	none			
612	36	b	Maria:	Två plus två är fem.	Maria tror att...	FillerDecl	NonReflexive	none			
