UniqueNumb	item	subitem	name	Main1	Emb1	cond11	cond12	adv1
818	56	b	Ellen:	Ellen sagde, at hun næsten havde alt rigtig til prøven.	...	V2	none	nesten
652	31	c	Anna:	Anna sagde, at hun havde glemt sine nøgler derhjemme.	...	FillerDecl	NonReflexive	none
654	32	c	Oscar:	Oscar hævder, at Anna har været syg hele ugen.	...	FillerDecl	NonReflexive	none
701	40	a	Jonas:	Jonas spurgte, hvem der lavede maden.	...	SubQshort	1	none
703	41	a	Anna:	Anna spurgte, hvad der blev sagt til mødet.	...	SubQshort	1	none
711	42	a	Jonas:	Jonas spurgte, hvor mange hold der deltog i turneringen.	...	SubQlong	1	none
713	43	a	Ellen:	Ellen spurgte, hvilke bøger der var spændende.	...	SubQlong	1	none
715	44	a	Jonas:	Jonas spurgte, hvad hun arbejdede på.	...	ObjQshort	1	none
657	89	c	Oscar:	Oscar hævder, at Tyskland er større end Frankrig.	...	FillerDecl	NonReflexive	none
753	45	a	Ellen:	Ellen spurgte, hvem Anna går i klasse med.	...	ObjQshort	1	none
751	46	a	Jonas:	Jonas spurgte, hvornår Elias flyttede til Oslo.	...	ObjQlong	1	none
755	47	a	Ellen:	Ellen spurgte, hvordan han gjorde det. 	...	ObjQlong	1	none
659	88	c	Mads:	Mads hævder, at turen i morgen er aflyst.	...	FillerDecl	NonReflexive	none
702	40	b	Ellen:	Ellen spurgte, hvem der lavede maden.	...	SubQshort	2	none
704	41	b	Mads:	Mads spurgte, hvad der blev sagt til mødet.	...	SubQshort	2	none
712	42	b	Eirik:	Eirik spurgte, hvor mange hold der deltog i turneringen.	...	SubQlong	2	none
714	43	b	Anna:	Anna spurgte, hvilke bøger der var spændende.	...	SubQlong	2	none
655	88	c	Mads:	Mads hævder, at turen i morgen er aflyst.	...	FillerDecl	NonReflexive	none
656	88	c	Mads:	Oscar hævder, at månen er lavet af ost.	...	FillerDecl	NonReflexive	none
752	44	b	Ellen:	Ellen spurgte, hvad han arbejdede på.	...	ObjQshort	2	none
754	45	b	Anna:	Anna spurgte, hvem Ellen går i klasse med.	...	ObjQshort	2	none
756	46	b	Oscar:	Oscar spurgte, hvornår Mads flyttede til Oslo.	...	ObjQlong	2	none
758	47	a	Ellen:	Ellen spurgte, hvordan han gjorde det. 	...	ObjQlong	1	none
